学校,URL,答卷总数,问题简称,问题,答卷编号,回答
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A4,较为便利，南京地铁S3号线春江路站
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A5,出校门二百米，实际地理位置属于南京市正中心
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,洗衣机,宿舍楼有洗衣机吗,A1,有，但垃圾
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,洗衣机,宿舍楼有洗衣机吗,A2,基本上每栋楼都有五六台
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,洗衣机,宿舍楼有洗衣机吗,A3,有 每层2台
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,洗衣机,宿舍楼有洗衣机吗,A4,有
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,校园网,校园网怎么样,A1,垃圾，而且一定要校园电话卡
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,校园网,校园网怎么样,A2,到十二点自动下线，可以重新登录使用的
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,校园网,校园网怎么样,A3,还好
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,校园网,校园网怎么样,A4,一般般
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,校园网,校园网怎么样,A5,依托，建议办理大流量卡
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,断电断网,每天断电断网吗，几点开始断,A1,不，十一点熄灯
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,断电断网,每天断电断网吗，几点开始断,A2,不断电不断网（过十二点需要重新登录），周日到周四十一点熄灯，周五周六十一点半熄灯
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,断电断网,每天断电断网吗，几点开始断,A3,23点断网 不断电 但是寝室熄灯
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,断电断网,每天断电断网吗，几点开始断,A4,11点
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,断电断网,每天断电断网吗，几点开始断,A5,无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,食堂,食堂价格贵吗，会吃出异物吗,A1,一般，有的贵有的不，会
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,食堂,食堂价格贵吗，会吃出异物吗,A2,小贵，但是比外卖便宜，我没遇到过但是表白墙有人吃出过
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,食堂,食堂价格贵吗，会吃出异物吗,A3,南校区贵 种类少 有异物
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,食堂,食堂价格贵吗，会吃出异物吗,A4,基本没有
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,食堂,食堂价格贵吗，会吃出异物吗,A5,正常水平
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,热水,洗澡热水供应时间,A1,忘了，已经润出去走读了
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,热水,洗澡热水供应时间,A2,浴室的话只要你开电就有，公共浴室不清楚
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,热水,洗澡热水供应时间,A3,见上
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,热水,洗澡热水供应时间,A4,24小时
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,热水,洗澡热水供应时间,A5,部分宿舍无限制
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A1,不，很小很垃圾，但职工却能开，呵呵
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A2,不可以，可以骑车来学校放校门里的停车点
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A3,没使用过电动车恕难回答
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A4,不可以
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电瓶车,校园内可以骑电瓶车吗，电池在哪能充电,A5,可以，校门口有车棚充电桩
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,限电,宿舍限电情况,A1,忘了
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,限电,宿舍限电情况,A2,最高800w
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,限电,宿舍限电情况,A3,没经历过跳电 大功率电吹风可以在浴室使用
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,限电,宿舍限电情况,A4,无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,通宵自习,通宵自习有去处吗,A1,无，管得很严
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,通宵自习,通宵自习有去处吗,A2,通宵不清楚，图书馆九点半关门
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,通宵自习,通宵自习有去处吗,A3,寝室自便
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,通宵自习,通宵自习有去处吗,A4,无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电脑,大一能带电脑吗,A1,能
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电脑,大一能带电脑吗,A2,能的，有的专业需要电脑
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,电脑,大一能带电脑吗,A3,可以
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,卡消费,学校里面用什么卡，饭堂怎样消费,A1,校园卡，校园卡，支付宝微信都行
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,卡消费,学校里面用什么卡，饭堂怎样消费,A2,饭堂可以刷校园卡，也可以支付宝微信
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,卡消费,学校里面用什么卡，饭堂怎样消费,A3,校园卡/支付宝
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,卡消费,学校里面用什么卡，饭堂怎样消费,A4,校园卡
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,卡消费,学校里面用什么卡，饭堂怎样消费,A5,几乎不使用校园卡，微信支付宝都可以使用
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,银行卡,学校会给学生发银行卡吗,A1,会，浦发银行
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,银行卡,学校会给学生发银行卡吗,A2,会的，浦发银行，和录取通知书一起寄过去
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,银行卡,学校会给学生发银行卡吗,A3,浦发银行卡
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,银行卡,学校会给学生发银行卡吗,A4,会
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,银行卡,学校会给学生发银行卡吗,A5,通知书自带浦发银行卡用于缴纳学费发放奖学金
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,超市,学校的超市怎么样,A1,一般，有的垃圾
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,超市,学校的超市怎么样,A2,算是比较齐全吧，南商比北商略贵
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,超市,学校的超市怎么样,A3,南校区 两个小卖部一个水果店 物价一般但质量需要自己甄别
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,超市,学校的超市怎么样,A4,有罗森便利店
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,超市,学校的超市怎么样,A5,建议出校门
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,快递,学校的收发快递政策怎么样,A1,对东区来说很远，都在西区
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,快递,学校的收发快递政策怎么样,A2,基本上都能收寄，但是邮政只能收不能寄
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,快递,学校的收发快递政策怎么样,A3,有快递站点 但现在中通快递需要在外卖柜附近自取
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,快递,学校的收发快递政策怎么样,A4,有单独快递收取地点
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,快递,学校的收发快递政策怎么样,A5,方便齐全（除了邮政）
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,共享单车,学校里面的共享单车数目与种类如何,A1,无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,共享单车,学校里面的共享单车数目与种类如何,A2,没有共享
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,共享单车,学校里面的共享单车数目与种类如何,A3,南校区出门后下坡有很多 美团居多
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,门禁,现阶段学校的门禁情况如何,A1,现在放开了，刷校园卡
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,门禁,现阶段学校的门禁情况如何,A2,校门口不清楚，宿舍的话周日到周日都是十点钟，周五周六好像可以延迟到十点半
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,门禁,现阶段学校的门禁情况如何,A3,22:30封寝
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,门禁,现阶段学校的门禁情况如何,A4,较为严格
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,门禁,现阶段学校的门禁情况如何,A5,严格人脸识别
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,上床下桌,宿舍是上床下桌吗,A1,是
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,上床下桌,宿舍是上床下桌吗,A2,九龙湖是
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,上床下桌,宿舍是上床下桌吗,A3,学校三个校区，桥区不清楚，湖区全是，牌区正在改造，目前本科生应该全是上床下桌四人间
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,上床下桌,宿舍是上床下桌吗,A4,是 至少九龙湖校区是
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,上床下桌,宿舍是上床下桌吗,A5,个别宿舍不是，基本上都是上床下桌
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,上床下桌,宿舍是上床下桌吗,A6,群英楼是
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,上床下桌,宿舍是上床下桌吗,A7,四牌楼群英楼是 九龙湖好像都是
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,空调,教室和宿舍有没有空调,A1,有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,空调,教室和宿舍有没有空调,A2,有 宿舍可以自己开但是最近图书馆一直不开被骂了
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,空调,教室和宿舍有没有空调,A3,有，比较老旧但是可以运行
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,空调,教室和宿舍有没有空调,A4,有 风扇和空调都有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,空调,教室和宿舍有没有空调,A5,都有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A1,九龙湖有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A2,有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A3,仅住过牌区，牌区本科应该都没有独立卫浴，校西宿舍区荟萃楼是一栋楼一个澡堂，学府好像和荟萃楼共用一个澡堂，其他应该是一层一个
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A4,九龙湖校区是独立卫浴
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A5,大部分有，其余在本层有公共隔间浴室/厕所
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A6,有独立卫浴
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A7,新宿舍有独立卫浴，个别老宿舍和校外住宿点没有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A8,九龙湖有独立卫浴
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A9,群英楼有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A10,四牌楼好像只有群英楼有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A11,有的宿舍无，每层宿舍都有两个浴室和卫生间
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A1,大一有晚自习
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A2,大一强制集体晚自习
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A3,早无，晚大一有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A4,早自习不知道有没有，晚自习有，但是建院没有😋
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A5,大一强制晚自习 18:30-20:55
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A6,无晚自习，大一有晚自习
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A7,大一上有晚自习
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A8,不了解
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A9,大一大二有晚自习
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A10,有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A11,有晚自习
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,早晚自习,有早自习、晚自习吗,A12,大一上有晚自习，没有早自习
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A1,有，但是即将改革
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A2,有 劝退很影响上课效率
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A3,有
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A4,有，湖区大一大二绕操场跑，牌区大一跑，大二打卡就行
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A5,有 每个学期40次打卡
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A6,无
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A7,一学期要求跑操45次，6:00-22:00都可以跑。每次20min1.2公里
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A8,本科生有，
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A9,没有，改成自由跑了
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,晨跑,有晨跑吗,A10,有45次不限制跑操时间的跑操
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A1,40次
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A2,晨跑45次 现在被骂以后改了下雨减及格次数 没到次数体育直接挂
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A3,无
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A4,按次数计，现在下雨也算进跑操次数，想打满还是很容易的
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A5,反正就40次 不知道多少公里 不能骑车 有老师监督
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A6,每学期按长短不同，划定本学期跑步及格次数，不可以骑车
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A7,45次1.2km，不能骑车
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A8,每学期45次，不能。有位置要求，会抓骑车
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A9,硕士生没有，不了解
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A10,一学期45次，每次操场三圈，原则上不能骑车
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A11,不清楚
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A12,1.2km 45
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A13,至少45*1.2=54公里，骑车有可能被抓
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A14,45*1200米，不可以
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A1,1、2月，一个月的小学期
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A2,一个月 寒假两周暑假四周
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A3,大约暑假40，寒假30，小学期一个月
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A4,寒假学校已经没了，暑假学校目前是一两个星期(算不清)，今年暑假放两个月左右，寒假一个半月左右
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A5,1-2个月都有 小学期就几周
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A6,寒假一月＋，暑假两个月，暑期小学期长4周
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A7,暑假7周，寒假5周，小学期4周
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A8,寒假约1个月，暑假接近2个月，小学期一个月左右，放约2个月暑假后上小学期
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A9,硕士寒暑假看导师，无小学期
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A10,暑期学校四周
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A11,1个月左右
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A12,寒假暑假都短🤣
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A13,寒假1个月暑假两个月，暑假824开学上到914算作小学期
东南大学,https://cn.colleges.chat/universities/dong-nan-da-xue/,14,寒暑假,寒暑假放多久，每年小学期有多长,A14,寒假略多余一个月，暑假两个月，小学期约一个月
